transformer_id,risk_score,risk_level,failure
1566,0.006074867,Low,0
1536,0.006007629,Low,0
1929,0.005913872,Low,0
912,0.0058184173,Low,0
1398,0.0057930243,Low,0
17,0.0054806517,Low,0
490,0.0054331264,Low,0
220,0.00531283,Low,0
1403,0.0051469207,Low,0
1675,0.0050632786,Low,0
794,0.004738694,Low,0
1861,0.004577283,Low,0
1022,0.0043167183,Low,0
1104,0.0043114135,Low,0
1950,0.0041315267,Low,0
149,0.0040731346,Low,0
263,0.0040014903,Low,0
247,0.0040007913,Low,0
534,0.003947446,Low,0
139,0.0038634406,Low,0
457,0.003801403,Low,0
1509,0.003560903,Low,0
642,0.003523611,Low,0
1044,0.0030540265,Low,0
776,0.003009385,Low,0
1017,0.0030061489,Low,0
1814,0.0029468015,Low,0
368,0.00292036,Low,0
602,0.0028671203,Low,0
211,0.0028057643,Low,0
179,0.0027754954,Low,0
322,0.0027499136,Low,0
682,0.0026399386,Low,0
33,0.002624712,Low,0
279,0.002605985,Low,0
511,0.0025941075,Low,0
1637,0.0025673502,Low,0
644,0.0025484653,Low,0
1467,0.002540485,Low,0
1820,0.0024266625,Low,0
829,0.0023642562,Low,0
1731,0.0023146945,Low,0
270,0.0022594817,Low,0
1465,0.0022327981,Low,0
1474,0.0021091318,Low,0
807,0.0021052083,Low,0
1171,0.001956084,Low,0
1825,0.0018688998,Low,0
543,0.0016870366,Low,0
1966,0.0014708758,Low,0
599,0.0014635267,Low,0
752,0.0013829784,Low,0
527,0.0013133497,Low,0
1694,0.0012849799,Low,0
818,0.0011994484,Low,0
1395,0.0011554989,Low,0
721,0.0011443786,Low,0
802,0.0011161981,Low,0
1032,0.0010982048,Low,0
321,0.0009566115,Low,0
1743,0.0008498017,Low,0
881,0.0008322551,Low,0
1187,0.00079550216,Low,0
214,0.0007832503,Low,0
1546,0.00078177016,Low,0
578,0.0007645776,Low,0
415,0.0007595106,Low,0
166,0.00073679636,Low,0
1554,0.0007210362,Low,0
438,0.0007107869,Low,0
1764,0.00063330826,Low,0
1340,0.0006328093,Low,0
